run,skill,sub_skill,rung,standard,attempts,pass,answer_correct,single_correct,on_target_subskill,on_target_rung,age_appropriate,judge_issues,gen_issues
1,Vocabulary,vocab.food_drink,1,3,1,true,true,true,true,true,true,"",""
1,Vocabulary,vocab.food_drink,3,3,0,false,,,,,,"","item.answer.trim is not a function"
1,Vocabulary,vocab.food_drink,4,3,3,false,,,,,,"","no valid item produced"
1,Vocabulary,vocab.animals_nature,1,3,2,true,true,true,true,true,true,"","rung mismatch (got 1, want 1)"
1,Vocabulary,vocab.animals_nature,3,3,0,false,,,,,,"","item.answer.trim is not a function"
1,Vocabulary,vocab.animals_nature,4,3,3,false,,,,,,"","no valid item produced"
1,Vocabulary,vocab.feelings,1,3,1,true,true,true,true,true,true,"",""
1,Vocabulary,vocab.feelings,3,3,3,false,,,,,,"","no valid item produced"
1,Vocabulary,vocab.feelings,4,3,3,false,,,,,,"","no valid item produced"
1,Grammar,grammar.past_tense,1,3,1,true,true,true,true,true,true,"",""
1,Grammar,grammar.past_tense,3,3,3,true,true,true,true,true,true,"","open item must not have options | No options provided for the question. | No correct_answer field specified. | The item does not have multiple choice options to select from, so it is unclear how the answer is marked. | The format is gap_fill but lacks options and correct_answer, making it incomplete for a quiz item. | The item tests past tense but is incomplete and not properly formatted for a Standard 3 quiz. | open item must not have options"
1,Grammar,grammar.past_tense,4,3,3,false,,,,,,"","no valid item produced"
1,Grammar,grammar.articles,1,3,3,true,true,true,true,true,true,"","The item does not have marked options or a marked correct answer; it only has an 'answer' field. | The item does not test the use of 'the' article appropriately; both blanks require 'a', so it does not test all articles (a/an/the). | The format is 'worked_example' with no options, which is not suitable for a quiz item requiring selection or filling in blanks with multiple choices. | The question is somewhat appropriate for Standard 3, but the lack of testing 'the' article makes it incomplete for the stated sub_skill. | open item must not have options | No options provided for the question, so the correct answer cannot be verified. | The item does not have a marked correct answer in the 'correct_answer' field. | The format is 'worked_example' but no options or correct_answer field is given, making it incomplete as a quiz item. | The item tests articles but lacks a proper question format with options for a Standard 3 child."
1,Grammar,grammar.articles,3,3,3,false,,,,,,"","no valid item produced"
1,Grammar,grammar.articles,4,3,3,false,,,,,,"","no valid item produced"
1,Grammar,grammar.sva,1,3,3,false,,,,,,"","no valid item produced"
1,Grammar,grammar.sva,3,3,3,false,,,,,,"","no valid item produced"
1,Grammar,grammar.sva,4,3,3,false,,,,,,"","no valid item produced"
1,Reading,reading.literal,1,3,3,false,,,,,,"","no valid item produced"
1,Reading,reading.literal,3,3,0,false,,,,,,"","item.answer.trim is not a function"
1,Reading,reading.literal,4,3,3,false,,,,,,"","no valid item produced"
1,Reading,reading.inference,1,3,3,false,,,,,,"","no valid item produced"
1,Reading,reading.inference,3,3,3,false,,,,,,"","no valid item produced"
1,Reading,reading.inference,4,3,1,false,true,false,true,true,true,"Option D ('Ali wants to keep the sun away.') is also a plausible inference, making more than one answer potentially correct.",""
1,Reading,reading.sequencing,1,3,2,true,true,true,true,true,true,"","open item must not have options | The item does not have options or a marked correct answer, so correctness cannot be verified. | The item does not have multiple choice options, so it does not fit a typical quiz format for checking correct/incorrect answers. | The item format 'vocab_preview' with no options and no correct_answer field is inappropriate for a Standard 3 quiz question. | The item tests sequencing but in a free response format rather than multiple choice, which may not be suitable for strict QA of quiz items."
1,Reading,reading.sequencing,3,3,0,false,,,,,,"","item.answer.trim is not a function"
1,Reading,reading.sequencing,4,3,1,true,true,true,true,true,true,"",""
1,Writing,writing.mechanics,1,3,3,false,,,,,,"","no valid item produced"
1,Writing,writing.mechanics,3,3,3,false,,,,,,"","no valid item produced"
1,Writing,writing.mechanics,4,3,3,false,,,,,,"","no valid item produced"
1,Writing,writing.sentence_combining,1,3,3,false,,,,,,"","no valid item produced"
1,Writing,writing.sentence_combining,3,3,3,false,,,,,,"","no valid item produced"
1,Writing,writing.sentence_combining,4,3,3,false,,,,,,"","no valid item produced"
1,Writing,writing.spelling,1,3,3,false,,,,,,"","no valid item produced"
1,Writing,writing.spelling,3,3,3,false,,,,,,"","no valid item produced"
1,Writing,writing.spelling,4,3,3,false,,,,,,"","no valid item produced"
2,Vocabulary,vocab.food_drink,1,3,1,true,true,true,true,true,true,"",""
2,Vocabulary,vocab.food_drink,3,3,3,false,,,,,,"","no valid item produced"
2,Vocabulary,vocab.food_drink,4,3,3,false,,,,,,"","no valid item produced"
2,Vocabulary,vocab.animals_nature,1,3,1,true,true,true,true,true,true,"",""
2,Vocabulary,vocab.animals_nature,3,3,3,false,,,,,,"","no valid item produced"
2,Vocabulary,vocab.animals_nature,4,3,3,false,,,,,,"","no valid item produced"
2,Vocabulary,vocab.feelings,1,3,1,true,true,true,true,true,true,"",""
2,Vocabulary,vocab.feelings,3,3,3,false,,,,,,"","no valid item produced"
2,Vocabulary,vocab.feelings,4,3,3,false,,,,,,"","no valid item produced"
2,Grammar,grammar.past_tense,1,3,2,true,true,true,true,true,true,"","No options provided for a quiz item; correct_answer is null but answer is given as a free text, which is inconsistent with a quiz format. | The item is a worked example rather than a quiz question with selectable options, so it does not fit the quiz item criteria. | The item tests past tense but does not have a question format suitable for Standard 3 quiz (no multiple choice or fill-in-the-blank)."
2,Grammar,grammar.past_tense,3,3,3,true,true,true,true,true,true,"","open item must not have options | open item must not have options"
2,Grammar,grammar.past_tense,4,3,3,false,,,,,,"","no valid item produced"
2,Grammar,grammar.articles,1,3,2,true,true,true,true,true,true,"","open item must not have options | No options provided for the question, so correct answer cannot be verified. | No marked correct answer in the 'correct_answer' field. | The item does test articles, but the lack of options and correct_answer field makes it invalid as a quiz item. | The format is 'worked_example' but it lacks options and a marked correct answer, making it unsuitable for assessment."
2,Grammar,grammar.articles,3,3,2,true,true,true,true,true,true,"","open item must not have options"
2,Grammar,grammar.articles,4,3,3,false,,,,,,"","no valid item produced"
2,Grammar,grammar.sva,1,3,3,false,,,,,,"","no valid item produced"
2,Grammar,grammar.sva,3,3,3,true,true,true,true,true,true,"","open item must not have options | The 'correct_answer' field is empty, so the marked correct answer is missing. | The 'options' field is empty, so the question does not provide answer choices to select from. | The item does not explicitly test Subject-Verb Agreement through multiple choice or selection, but rather a fill-in-the-blank without options, which may be less appropriate for a Standard 3 quiz format. | open item must include a model answer | open item must not have options"
2,Grammar,grammar.sva,4,3,3,false,,,,,,"","no valid item produced"
2,Reading,reading.literal,1,3,3,false,,,,,,"","no valid item produced"
2,Reading,reading.literal,3,3,3,false,,,,,,"","no valid item produced"
2,Reading,reading.literal,4,3,3,false,,,,,,"","no valid item produced"
2,Reading,reading.inference,1,3,3,false,,,,,,"","no valid item produced"
